instance,maxRuntime,variableSelection,valueSelection,restarts,solutionsOverTime,isOptimal,runtime,nodes,fails,restarts,args
data/xcsp/cop23/AircraftAssemblyLine-1-178-00-0_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1800.059,34996,34877,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/AircraftAssemblyLine-1-178-00-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-1-178-50-0_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1801.898,69760,69698,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/AircraftAssemblyLine-1-178-50-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-00-0_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1800.009,1494919,1494671,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/AircraftAssemblyLine-2-178-00-0_c23.xml.lzma
data/xcsp/cop23/BeerJugs-dec-01_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:24;t:1.264;nodes:24;fails:0;restarts:0)(obj:25;t:3.893;nodes:451;fails:433;restarts:0),true,28.720,7810,7807,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/BeerJugs-dec-01_c23.xml.lzma
data/xcsp/cop23/BeerJugs-dec-05_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:4;t:0.900;nodes:7;fails:0;restarts:0)(obj:5;t:1.054;nodes:11;fails:2;restarts:0)(obj:6;t:1.167;nodes:16;fails:4;restarts:0)(obj:7;t:1.167;nodes:18;fails:4;restarts:0)(obj:8;t:1.335;nodes:23;fails:5;restarts:0)(obj:9;t:1.473;nodes:27;fails:7;restarts:0)(obj:10;t:1.596;nodes:33;fails:10;restarts:0)(obj:11;t:1.689;nodes:36;fails:10;restarts:0)(obj:12;t:1.776;nodes:39;fails:10;restarts:0)(obj:13;t:1.892;nodes:42;fails:10;restarts:0)(obj:14;t:1.987;nodes:46;fails:10;restarts:0)(obj:15;t:2.075;nodes:49;fails:10;restarts:0)(obj:16;t:2.175;nodes:52;fails:10;restarts:0)(obj:17;t:2.325;nodes:55;fails:10;restarts:0)(obj:18;t:2.401;nodes:58;fails:10;restarts:0)(obj:19;t:2.475;nodes:61;fails:10;restarts:0)(obj:20;t:2.581;nodes:64;fails:10;restarts:0)(obj:21;t:2.661;nodes:67;fails:10;restarts:0)(obj:22;t:2.733;nodes:70;fails:10;restarts:0)(obj:23;t:2.827;nodes:73;fails:10;restarts:0)(obj:24;t:2.906;nodes:76;fails:10;restarts:0)(obj:25;t:2.979;nodes:79;fails:10;restarts:0)(obj:26;t:3.042;nodes:82;fails:10;restarts:0)(obj:27;t:3.171;nodes:85;fails:10;restarts:0)(obj:28;t:3.266;nodes:88;fails:10;restarts:0)(obj:29;t:3.362;nodes:91;fails:10;restarts:0)(obj:30;t:3.423;nodes:95;fails:10;restarts:0)(obj:31;t:3.486;nodes:98;fails:10;restarts:0)(obj:32;t:3.541;nodes:101;fails:10;restarts:0)(obj:33;t:3.598;nodes:104;fails:10;restarts:0)(obj:34;t:3.687;nodes:107;fails:10;restarts:0)(obj:35;t:3.759;nodes:110;fails:10;restarts:0)(obj:36;t:3.851;nodes:115;fails:10;restarts:0)(obj:37;t:3.852;nodes:117;fails:10;restarts:0),true,518.054,68632,68565,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/BeerJugs-dec-05_c23.xml.lzma
data/xcsp/cop23/Benzenoide-08_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:137;t:375.976;nodes:99;fails:58;restarts:0)(obj:123;t:375.978;nodes:101;fails:60;restarts:0)(obj:122;t:375.987;nodes:115;fails:79;restarts:0)(obj:121;t:376.003;nodes:128;fails:91;restarts:0)(obj:120;t:376.004;nodes:131;fails:92;restarts:0)(obj:119;t:376.010;nodes:137;fails:100;restarts:0)(obj:117;t:376.048;nodes:168;fails:127;restarts:0)(obj:110;t:376.520;nodes:427;fails:385;restarts:0)(obj:107;t:376.542;nodes:460;fails:414;restarts:0)(obj:106;t:376.697;nodes:601;fails:560;restarts:0)(obj:101;t:383.720;nodes:2237;fails:2192;restarts:0),true,536.954,30805,30784,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/Benzenoide-08_c23.xml.lzma
data/xcsp/cop23/BeerJugs-dec-03_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:4;t:1.064;nodes:7;fails:0;restarts:0)(obj:5;t:1.242;nodes:11;fails:2;restarts:0)(obj:6;t:1.439;nodes:15;fails:4;restarts:0)(obj:7;t:1.596;nodes:18;fails:4;restarts:0)(obj:8;t:1.759;nodes:22;fails:4;restarts:0)(obj:9;t:1.893;nodes:26;fails:6;restarts:0)(obj:10;t:2.079;nodes:30;fails:8;restarts:0)(obj:11;t:2.194;nodes:33;fails:8;restarts:0)(obj:12;t:2.434;nodes:37;fails:8;restarts:0)(obj:13;t:2.599;nodes:40;fails:8;restarts:0)(obj:14;t:2.735;nodes:43;fails:8;restarts:0)(obj:15;t:2.889;nodes:46;fails:8;restarts:0)(obj:16;t:3.020;nodes:49;fails:8;restarts:0)(obj:17;t:3.155;nodes:52;fails:8;restarts:0)(obj:18;t:3.275;nodes:55;fails:8;restarts:0)(obj:19;t:3.427;nodes:58;fails:8;restarts:0)(obj:20;t:3.538;nodes:61;fails:8;restarts:0)(obj:21;t:3.637;nodes:64;fails:8;restarts:0)(obj:22;t:3.711;nodes:67;fails:8;restarts:0)(obj:23;t:3.814;nodes:70;fails:8;restarts:0)(obj:24;t:3.891;nodes:73;fails:8;restarts:0)(obj:25;t:3.997;nodes:76;fails:8;restarts:0)(obj:26;t:4.089;nodes:79;fails:8;restarts:0)(obj:27;t:4.155;nodes:82;fails:8;restarts:0)(obj:28;t:4.225;nodes:85;fails:8;restarts:0)(obj:29;t:4.294;nodes:88;fails:8;restarts:0)(obj:30;t:4.355;nodes:91;fails:8;restarts:0)(obj:31;t:4.454;nodes:94;fails:8;restarts:0)(obj:32;t:4.518;nodes:97;fails:8;restarts:0)(obj:33;t:4.623;nodes:100;fails:8;restarts:0)(obj:34;t:4.723;nodes:103;fails:8;restarts:0)(obj:35;t:4.777;nodes:106;fails:8;restarts:0)(obj:36;t:4.834;nodes:110;fails:8;restarts:0)(obj:37;t:4.889;nodes:113;fails:8;restarts:0),true,592.121,91653,91586,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/BeerJugs-dec-03_c23.xml.lzma
data/xcsp/cop23/Benzenoide-11_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.000,0,0,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/Benzenoide-11_c23.xml.lzma
c Unexpected resolution interruption!data/xcsp/cop23/Benzenoide-12_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.000,0,0,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/Benzenoide-12_c23.xml.lzma
c Unexpected resolution interruption!data/xcsp/cop23/Benzenoide-13_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.000,0,0,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/Benzenoide-13_c23.xml.lzma
