instance,maxRuntime,variableSelection,valueSelection,restarts,solutionsOverTime,isOptimal,runtime,nodes,fails,restarts,memory,vars,varsWithoutView,constraints,args
data/xcsp/cop23/AircraftAssemblyLine-2-178-00-0_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.806,1,0,0,3792.00,2809,999,2242,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-2-178-00-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-20-0_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.638,1,0,0,3984.00,2415,903,1960,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-2-178-20-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-20-1_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.765,1,0,0,3808.00,2208,896,1854,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-2-178-20-1_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-20-2_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.730,1,0,0,3792.00,2404,896,1947,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-2-178-20-2_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-50-0_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.580,1,0,0,3216.00,1594,745,1426,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-2-178-50-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-50-1_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.543,1,0,0,3040.00,1698,742,1507,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-2-178-50-1_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-50-2_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.615,1,0,0,3008.00,1853,742,1537,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-2-178-50-2_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-70-0_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.537,1,0,0,3072.00,1252,640,1189,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-2-178-70-0_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-70-1_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.444,1,0,0,3056.00,1343,632,1248,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-2-178-70-1_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-70-2_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.569,1,0,0,2928.00,1517,634,1270,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/AircraftAssemblyLine-2-178-70-2_c23.xml.lzma
data/xcsp/cop23/BeerJugs-dec-01_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.089,1,0,0,5712.00,284,211,2626,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/BeerJugs-dec-01_c23.xml.lzma
data/xcsp/cop23/BeerJugs-dec-03_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.301,1,0,0,9504.00,284,211,2626,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/BeerJugs-dec-03_c23.xml.lzma
data/xcsp/cop23/BeerJugs-dec-05_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.302,1,0,0,9680.00,284,211,2626,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/BeerJugs-dec-05_c23.xml.lzma
data/xcsp/cop23/BeerJugs-dec-06_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.505,1,0,0,10544.00,284,211,2626,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/BeerJugs-dec-06_c23.xml.lzma
data/xcsp/cop23/BeerJugs-dec-07_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.675,1,0,0,10368.00,284,211,2626,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/BeerJugs-dec-07_c23.xml.lzma
data/xcsp/cop23/BeerJugs-dec-08_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.706,1,0,0,11680.00,284,211,2626,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/BeerJugs-dec-08_c23.xml.lzma
data/xcsp/cop23/BeerJugs-dec-09_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.885,1,0,0,16400.00,284,211,2626,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/BeerJugs-dec-09_c23.xml.lzma
data/xcsp/cop23/BeerJugs-dec-10_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.128,1,0,0,21024.00,284,211,2626,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/BeerJugs-dec-10_c23.xml.lzma
data/xcsp/cop23/Benzenoide-06_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.460,1,0,0,4896.00,203,201,190,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/Benzenoide-06_c23.xml.lzma
data/xcsp/cop23/Benzenoide-07_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1.250,1,0,0,9216.00,279,277,261,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/Benzenoide-07_c23.xml.lzma
data/xcsp/cop23/Benzenoide-08_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,3.664,1,0,0,14576.00,367,365,344,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/Benzenoide-08_c23.xml.lzma
data/xcsp/cop23/Benzenoide-09_c23.xml.lzma,1,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=false),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,7.718,1,0,0,17344.00,465,463,437,-f -varh DOMWDEG -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h00m01s data/xcsp/cop23/Benzenoide-09_c23.xml.lzma
